alg,threads,dataset,sizeR,sizeS,bits,throughput,cycles-per-tuple
CRKJ,16,S=R,4,4,6,25.03,136
CRKJ,16,S=R,4,4,7,43.75,77
CRKJ,16,S=R,4,4,8,67.49,50
CRKJ,16,S=R,4,4,9,78.33,43
CRKJ,16,S=R,4,4,10,82.79,41
CRKJ,16,S=R,4,4,11,83.81,40
CRKJ,16,S=R,4,4,12,81.04,42
CRKJ,16,S=R,4,4,13,76.69,44
CRKJ,16,S=R,4,4,14,70.55,48
CRKJ,16,S=R,4,4,15,61.91,55
CRKJ,16,S=R,4,4,16,50.31,67
CRKJ,16,S=R,8,8,6,20.73,164
CRKJ,16,S=R,8,8,7,36.73,92
CRKJ,16,S=R,8,8,8,52.34,65
CRKJ,16,S=R,8,8,9,74.3,45
CRKJ,16,S=R,8,8,10,83.27,40
CRKJ,16,S=R,8,8,11,84.16,40
CRKJ,16,S=R,8,8,12,83.14,40
CRKJ,16,S=R,8,8,13,79.79,42
CRKJ,16,S=R,8,8,14,75.83,44
CRKJ,16,S=R,8,8,15,69.33,49
CRKJ,16,S=R,8,8,16,61.37,55
CRKJ,16,S=R,16,16,6,12.16,280
CRKJ,16,S=R,16,16,7,20.18,168
CRKJ,16,S=R,16,16,8,36.43,93
CRKJ,16,S=R,16,16,9,53.58,63
CRKJ,16,S=R,16,16,10,79.5,42
CRKJ,16,S=R,16,16,11,83.79,40
CRKJ,16,S=R,16,16,12,83.81,40
CRKJ,16,S=R,16,16,13,80.99,42
CRKJ,16,S=R,16,16,14,77.51,43
CRKJ,16,S=R,16,16,15,75.46,45
CRKJ,16,S=R,16,16,16,67.84,50
CRKJ,16,S=R,32,32,6,9.1,374
CRKJ,16,S=R,32,32,7,12.62,270
CRKJ,16,S=R,32,32,8,20.98,162
CRKJ,16,S=R,32,32,9,36.46,93
CRKJ,16,S=R,32,32,10,56.58,60
CRKJ,16,S=R,32,32,11,78.33,43
CRKJ,16,S=R,32,32,12,81.25,41
CRKJ,16,S=R,32,32,13,81.21,41
CRKJ,16,S=R,32,32,14,78.34,43
CRKJ,16,S=R,32,32,15,75.31,45
CRKJ,16,S=R,32,32,16,71.91,47
CRKJ,16,S=R,64,64,6,4.68,728
CRKJ,16,S=R,64,64,7,8.52,400
CRKJ,16,S=R,64,64,8,12.48,273
CRKJ,16,S=R,64,64,9,20.05,169
CRKJ,16,S=R,64,64,10,36.45,93
CRKJ,16,S=R,64,64,11,57.04,59
CRKJ,16,S=R,64,64,12,76.79,44
CRKJ,16,S=R,64,64,13,78.97,43
CRKJ,16,S=R,64,64,14,78.12,43
CRKJ,16,S=R,64,64,15,75.65,45
CRKJ,16,S=R,64,64,16,73.07,46
CRKJ,16,S=R,128,128,6,0,999
CRKJ,16,S=R,128,128,7,0.61,5596
CRKJ,16,S=R,128,128,8,3.66,932
CRKJ,16,S=R,128,128,9,13.75,247
CRKJ,16,S=R,128,128,10,21.07,161
CRKJ,16,S=R,128,128,11,35.6,95
CRKJ,16,S=R,128,128,12,45.48,74
CRKJ,16,S=R,128,128,13,48.98,69
CRKJ,16,S=R,128,128,14,46.91,72
CRKJ,16,S=R,128,128,15,45.97,74
CRKJ,16,S=R,128,128,16,42.16,80
CRKJ,16,S=R,256,256,6,0,999
CRKJ,16,S=R,256,256,7,0,999
CRKJ,16,S=R,256,256,8,0,999
CRKJ,16,S=R,256,256,9,0,999
CRKJ,16,S=R,256,256,10,0,999
CRKJ,16,S=R,256,256,11,20.01,170
CRKJ,16,S=R,256,256,12,27.59,123
CRKJ,16,S=R,256,256,13,28.45,119
CRKJ,16,S=R,256,256,14,27.84,122
CRKJ,16,S=R,256,256,15,26.73,127
CRKJ,16,S=R,256,256,16,26.32,129
CRKJ,16,S=R,512,512,6,0,999
CRKJ,16,S=R,512,512,7,0,999
