alg,threads,dataset,sizeR,sizeS,bits,throughput,cycles-per-tuple
CRKJ,1,S=R,4,4,1,13.42,253
CRKJ,1,S=R,4,4,2,18.0,189
CRKJ,1,S=R,4,4,3,27.99,121
CRKJ,1,S=R,4,4,4,34.1,99
CRKJ,1,S=R,4,4,5,33.86,100
CRKJ,1,S=R,4,4,6,31.84,107
CRKJ,1,S=R,4,4,7,29.1,117
CRKJ,1,S=R,4,4,8,26.98,126
CRKJ,1,S=R,4,4,9,24.57,138
CRKJ,1,S=R,4,4,10,22.5,151
CRKJ,1,S=R,4,4,11,20.34,167
CRKJ,1,S=R,4,4,12,18.05,188
CRKJ,1,S=R,4,4,13,15.61,218
CRKJ,1,S=R,4,4,14,12.86,265
CRKJ,1,S=R,4,4,15,9.9,344
CRKJ,1,S=R,4,4,16,6.87,496
CRKJ,1,S=R,8,8,1,10.08,338
CRKJ,1,S=R,8,8,2,12.81,265
CRKJ,1,S=R,8,8,3,18.86,180
CRKJ,1,S=R,8,8,4,27.51,123
CRKJ,1,S=R,8,8,5,32.72,104
CRKJ,1,S=R,8,8,6,30.9,110
CRKJ,1,S=R,8,8,7,28.73,118
CRKJ,1,S=R,8,8,8,26.33,129
CRKJ,1,S=R,8,8,9,24.61,138
CRKJ,1,S=R,8,8,10,22.5,151
CRKJ,1,S=R,8,8,11,20.78,163
CRKJ,1,S=R,8,8,12,18.89,180
CRKJ,1,S=R,8,8,13,16.88,201
CRKJ,1,S=R,8,8,14,14.77,230
CRKJ,1,S=R,8,8,15,12.35,276
CRKJ,1,S=R,8,8,16,9.54,357
CRKJ,1,S=R,16,16,1,6.75,504
CRKJ,1,S=R,16,16,2,9.32,365
CRKJ,1,S=R,16,16,3,13.21,258
CRKJ,1,S=R,16,16,4,18.21,187
CRKJ,1,S=R,16,16,5,26.2,130
CRKJ,1,S=R,16,16,6,29.95,113
CRKJ,1,S=R,16,16,7,28.16,121
CRKJ,1,S=R,16,16,8,26.29,129
CRKJ,1,S=R,16,16,9,24.18,140
CRKJ,1,S=R,16,16,10,22.6,150
CRKJ,1,S=R,16,16,11,20.92,162
CRKJ,1,S=R,16,16,12,19.33,176
CRKJ,1,S=R,16,16,13,17.68,192
CRKJ,1,S=R,16,16,14,16.01,212
CRKJ,1,S=R,16,16,15,14.03,242
CRKJ,1,S=R,16,16,16,11.79,289
CRKJ,1,S=R,32,32,1,0.26,12940
CRKJ,1,S=R,32,32,2,5.7,597
CRKJ,1,S=R,32,32,3,9.71,351
CRKJ,1,S=R,32,32,4,12.83,265
CRKJ,1,S=R,32,32,5,17.37,196
CRKJ,1,S=R,32,32,6,24.53,138
CRKJ,1,S=R,32,32,7,27.57,123
CRKJ,1,S=R,32,32,8,25.81,132
CRKJ,1,S=R,32,32,9,23.83,142
CRKJ,1,S=R,32,32,10,22.15,153
CRKJ,1,S=R,32,32,11,20.77,164
CRKJ,1,S=R,32,32,12,19.39,175
CRKJ,1,S=R,32,32,13,18.05,188
CRKJ,1,S=R,32,32,14,16.61,205
CRKJ,1,S=R,32,32,15,15.08,226
CRKJ,1,S=R,32,32,16,13.33,255
CRKJ,1,S=R,64,64,5,12.41,274
CRKJ,1,S=R,64,64,6,16.41,207
CRKJ,1,S=R,64,64,7,22.67,150
CRKJ,1,S=R,64,64,8,24.99,136
CRKJ,1,S=R,64,64,9,23.54,144
CRKJ,1,S=R,64,64,10,22.0,154
CRKJ,1,S=R,64,64,11,20.49,166
CRKJ,1,S=R,64,64,12,19.3,176
CRKJ,1,S=R,64,64,13,18.15,187
CRKJ,1,S=R,64,64,14,16.88,201
CRKJ,1,S=R,64,64,15,15.64,217
CRKJ,1,S=R,64,64,16,14.25,239
CRKJ,1,S=R,128,128,5,9.29,366
CRKJ,1,S=R,128,128,6,11.84,287
CRKJ,1,S=R,128,128,7,15.52,219
CRKJ,1,S=R,128,128,8,20.99,162
CRKJ,1,S=R,128,128,9,23.06,147
CRKJ,1,S=R,128,128,10,21.76,156
CRKJ,1,S=R,128,128,11,20.33,167
CRKJ,1,S=R,128,128,12,19.11,178
CRKJ,1,S=R,128,128,13,18.02,189
CRKJ,1,S=R,128,128,14,16.97,200
CRKJ,1,S=R,128,128,15,15.92,214
CRKJ,1,S=R,128,128,16,14.74,231
CRKJ,1,S=R,256,256,5,5.03,676
CRKJ,1,S=R,256,256,6,8.98,379
CRKJ,1,S=R,256,256,7,11.3,301
CRKJ,1,S=R,256,256,8,14.63,232
CRKJ,1,S=R,256,256,9,19.48,174
CRKJ,1,S=R,256,256,10,21.18,160
CRKJ,1,S=R,256,256,11,20.11,169
CRKJ,1,S=R,256,256,12,18.83,181
CRKJ,1,S=R,256,256,13,17.77,191
CRKJ,1,S=R,256,256,14,16.87,202
CRKJ,1,S=R,256,256,15,15.93,213
CRKJ,1,S=R,256,256,16,14.97,227
CRKJ,1,S=R,512,512,5,0.23,14520
CRKJ,1,S=R,512,512,6,4.89,696
CRKJ,1,S=R,512,512,7,8.69,392
CRKJ,1,S=R,512,512,8,10.87,313
CRKJ,1,S=R,512,512,9,13.94,244
CRKJ,1,S=R,512,512,10,18.21,187
CRKJ,1,S=R,512,512,11,19.65,173
CRKJ,1,S=R,512,512,12,18.69,182
CRKJ,1,S=R,512,512,13,17.64,193
CRKJ,1,S=R,512,512,14,16.69,204
CRKJ,1,S=R,512,512,15,15.89,214
CRKJ,1,S=R,512,512,16,15.06,226
CRKJ,1,S=10R,4,40,1,12.3,277
CRKJ,1,S=10R,4,40,2,21.93,155
CRKJ,1,S=10R,4,40,3,39.22,86
CRKJ,1,S=10R,4,40,4,40.78,83
CRKJ,1,S=10R,4,40,5,36.25,94
CRKJ,1,S=10R,4,40,6,33.02,103
CRKJ,1,S=10R,4,40,7,30.25,112
CRKJ,1,S=10R,4,40,8,28.37,120
CRKJ,1,S=10R,4,40,9,26.07,130
CRKJ,1,S=10R,4,40,10,24.32,140
CRKJ,1,S=10R,4,40,11,22.3,152
CRKJ,1,S=10R,4,40,12,20.5,166
CRKJ,1,S=10R,4,40,13,18.84,180
CRKJ,1,S=10R,4,40,14,17.08,199
CRKJ,1,S=10R,4,40,15,15.21,224
CRKJ,1,S=10R,4,40,16,13.06,260
CRKJ,1,S=10R,8,80,1,9.31,365
CRKJ,1,S=10R,8,80,2,11.53,295
CRKJ,1,S=10R,8,80,3,20.54,165
CRKJ,1,S=10R,8,80,4,34.23,99
CRKJ,1,S=10R,8,80,5,35.76,95
CRKJ,1,S=10R,8,80,6,33.0,103
CRKJ,1,S=10R,8,80,7,29.48,115
CRKJ,1,S=10R,8,80,8,27.43,124
CRKJ,1,S=10R,8,80,9,25.73,132
CRKJ,1,S=10R,8,80,10,24.06,141
CRKJ,1,S=10R,8,80,11,22.3,152
CRKJ,1,S=10R,8,80,12,20.64,165
CRKJ,1,S=10R,8,80,13,19.1,178
CRKJ,1,S=10R,8,80,14,17.62,193
CRKJ,1,S=10R,8,80,15,16.1,211
CRKJ,1,S=10R,8,80,16,14.4,236
CRKJ,1,S=10R,16,160,1,7.98,427
CRKJ,1,S=10R,16,160,2,8.79,387
CRKJ,1,S=10R,16,160,3,10.95,311
CRKJ,1,S=10R,16,160,4,17.78,191
CRKJ,1,S=10R,16,160,5,30.5,111
CRKJ,1,S=10R,16,160,6,31.8,107
CRKJ,1,S=10R,16,160,7,29.14,116
CRKJ,1,S=10R,16,160,8,26.52,128
CRKJ,1,S=10R,16,160,9,24.75,137
CRKJ,1,S=10R,16,160,10,23.49,145
CRKJ,1,S=10R,16,160,11,22.19,153
CRKJ,1,S=10R,16,160,12,20.62,165
CRKJ,1,S=10R,16,160,13,19.21,177
CRKJ,1,S=10R,16,160,14,17.87,190
CRKJ,1,S=10R,16,160,15,16.57,205
CRKJ,1,S=10R,16,160,16,15.21,224
CRKJ,1,S=10R,32,320,1,0.15,22722
CRKJ,1,S=10R,32,320,2,7.42,459
CRKJ,1,S=10R,32,320,3,8.52,400
CRKJ,1,S=10R,32,320,4,10.19,334
CRKJ,1,S=10R,32,320,5,16.62,205
CRKJ,1,S=10R,32,320,6,27.78,122
CRKJ,1,S=10R,32,320,7,29.04,117
CRKJ,1,S=10R,32,320,8,26.35,129
CRKJ,1,S=10R,32,320,9,24.49,139
CRKJ,1,S=10R,32,320,10,22.98,148
CRKJ,1,S=10R,32,320,11,21.82,156
CRKJ,1,S=10R,32,320,12,20.5,166
CRKJ,1,S=10R,32,320,13,19.18,177
CRKJ,1,S=10R,32,320,14,17.95,189
CRKJ,1,S=10R,32,320,15,16.78,203
CRKJ,1,S=10R,32,320,16,15.59,218
CRKJ,1,S=10R,64,640,5,9.69,351
CRKJ,1,S=10R,64,640,6,15.18,224
CRKJ,1,S=10R,64,640,7,25.41,134
CRKJ,1,S=10R,64,640,8,25.92,131
CRKJ,1,S=10R,64,640,9,24.06,141
CRKJ,1,S=10R,64,640,10,22.36,152
CRKJ,1,S=10R,64,640,11,21.09,161
CRKJ,1,S=10R,64,640,12,20.07,169
CRKJ,1,S=10R,64,640,13,19.08,178
CRKJ,1,S=10R,64,640,14,17.94,189
CRKJ,1,S=10R,64,640,15,16.85,202
CRKJ,1,S=10R,64,640,16,15.76,216
CRKJ,1,S=10R,128,1280,5,7.64,446
CRKJ,1,S=10R,128,1280,6,9.11,374
CRKJ,1,S=10R,128,1280,7,14.25,239
CRKJ,1,S=10R,128,1280,8,22.71,150
CRKJ,1,S=10R,128,1280,9,23.6,144
CRKJ,1,S=10R,128,1280,10,22.02,154
CRKJ,1,S=10R,128,1280,11,20.82,163
CRKJ,1,S=10R,128,1280,12,19.53,174
CRKJ,1,S=10R,128,1280,13,18.77,181
CRKJ,1,S=10R,128,1280,14,17.87,190
CRKJ,1,S=10R,128,1280,15,16.82,202
CRKJ,1,S=10R,128,1280,16,15.84,215
CRKJ,1,S=10R,256,2560,5,6.4,532
CRKJ,1,S=10R,256,2560,6,7.39,460
CRKJ,1,S=10R,256,2560,7,8.82,386
CRKJ,1,S=10R,256,2560,8,13.54,251
CRKJ,1,S=10R,256,2560,9,20.99,162
CRKJ,1,S=10R,256,2560,10,22.05,154
CRKJ,1,S=10R,256,2560,11,20.47,166
CRKJ,1,S=10R,256,2560,12,19.31,176
CRKJ,1,S=10R,256,2560,13,18.32,185
CRKJ,1,S=10R,256,2560,14,17.54,194
CRKJ,1,S=10R,256,2560,15,16.71,203
CRKJ,1,S=10R,256,2560,16,15.85,214
CRKJ,1,S=10R,512,5120,5,0.13,25599
CRKJ,1,S=10R,512,5120,6,6.19,550
CRKJ,1,S=10R,512,5120,7,7.14,477
CRKJ,1,S=10R,512,5120,8,8.52,399
CRKJ,1,S=10R,512,5120,9,12.96,262
CRKJ,1,S=10R,512,5120,10,19.64,173
CRKJ,1,S=10R,512,5120,11,20.37,167
CRKJ,1,S=10R,512,5120,12,19.11,178
CRKJ,1,S=10R,512,5120,13,17.95,189
CRKJ,1,S=10R,512,5120,14,17.13,198
CRKJ,1,S=10R,512,5120,15,16.53,206
CRKJ,1,S=10R,512,5120,16,15.77,216
CRKJ,1,S=50R,4,200,1,12.12,281
CRKJ,1,S=50R,4,200,2,23.22,146
CRKJ,1,S=50R,4,200,3,43.33,78
CRKJ,1,S=50R,4,200,4,43.16,78
CRKJ,1,S=50R,4,200,5,37.64,90
CRKJ,1,S=50R,4,200,6,33.69,101
CRKJ,1,S=50R,4,200,7,30.78,110
CRKJ,1,S=50R,4,200,8,28.67,118
CRKJ,1,S=50R,4,200,9,26.55,128
CRKJ,1,S=50R,4,200,10,24.45,139
CRKJ,1,S=50R,4,200,11,22.59,150
CRKJ,1,S=50R,4,200,12,20.93,162
CRKJ,1,S=50R,4,200,13,19.41,175
CRKJ,1,S=50R,4,200,14,18.06,188
CRKJ,1,S=50R,4,200,15,16.76,203
CRKJ,1,S=50R,4,200,16,15.46,220
CRKJ,1,S=50R,8,400,1,9.2,370
CRKJ,1,S=50R,8,400,2,11.35,300
CRKJ,1,S=50R,8,400,3,20.11,169
CRKJ,1,S=50R,8,400,4,35.94,94
CRKJ,1,S=50R,8,400,5,37.27,91
CRKJ,1,S=50R,8,400,6,33.31,102
CRKJ,1,S=50R,8,400,7,30.03,113
CRKJ,1,S=50R,8,400,8,27.65,123
CRKJ,1,S=50R,8,400,9,25.87,131
CRKJ,1,S=50R,8,400,10,24.23,140
CRKJ,1,S=50R,8,400,11,22.49,151
CRKJ,1,S=50R,8,400,12,20.87,163
CRKJ,1,S=50R,8,400,13,19.44,175
CRKJ,1,S=50R,8,400,14,18.12,188
CRKJ,1,S=50R,8,400,15,16.95,201
CRKJ,1,S=50R,8,400,16,15.81,215
CRKJ,1,S=50R,16,800,1,8.24,413
CRKJ,1,S=50R,16,800,2,8.71,391
CRKJ,1,S=50R,16,800,3,10.64,320
CRKJ,1,S=50R,16,800,4,17.92,190
CRKJ,1,S=50R,16,800,5,32.33,105
CRKJ,1,S=50R,16,800,6,32.9,103
CRKJ,1,S=50R,16,800,7,29.64,114
CRKJ,1,S=50R,16,800,8,27.02,126
CRKJ,1,S=50R,16,800,9,25.13,135
CRKJ,1,S=50R,16,800,10,23.72,143
CRKJ,1,S=50R,16,800,11,22.32,152
CRKJ,1,S=50R,16,800,12,20.7,164
CRKJ,1,S=50R,16,800,13,19.4,175
CRKJ,1,S=50R,16,800,14,18.16,187
CRKJ,1,S=50R,16,800,15,17.02,200
CRKJ,1,S=50R,16,800,16,15.97,213
CRKJ,1,S=50R,32,1600,1,0.14,24405
CRKJ,1,S=50R,32,1600,2,7.82,436
CRKJ,1,S=50R,32,1600,3,8.32,409
CRKJ,1,S=50R,32,1600,4,9.88,344
CRKJ,1,S=50R,32,1600,5,16.56,205
CRKJ,1,S=50R,32,1600,6,28.06,121
CRKJ,1,S=50R,32,1600,7,29.0,117
CRKJ,1,S=50R,32,1600,8,26.72,127
CRKJ,1,S=50R,32,1600,9,24.6,138
CRKJ,1,S=50R,32,1600,10,22.84,149
CRKJ,1,S=50R,32,1600,11,21.85,155
CRKJ,1,S=50R,32,1600,12,20.5,166
CRKJ,1,S=50R,32,1600,13,19.27,176
CRKJ,1,S=50R,32,1600,14,18.12,188
CRKJ,1,S=50R,32,1600,15,17.0,200
CRKJ,1,S=50R,32,1600,16,16.03,212
CRKJ,1,S=50R,64,3200,5,9.24,368
CRKJ,1,S=50R,64,3200,6,15.2,224
CRKJ,1,S=50R,64,3200,7,25.96,131
