dataset,alg,threads,throughput
A,CrkJoin,1,32.58
A,CrkJoin,2,49.51
A,CrkJoin,4,67.60
A,CrkJoin,8,80.76
A,CrkJoin,16,88.05
B,CrkJoin,1,31.34
B,CrkJoin,2,49.03
B,CrkJoin,4,70.10
B,CrkJoin,8,84.94
B,CrkJoin,16,87.83
A,RHO,1,18.55
A,RHO,2,25.63
A,RHO,3,26.77
A,RHO,4,25.13
A,RHO,5,24.05
A,RHO,6,23.0
A,RHO,7,22.38
A,RHO,8,19.02
A,RHO,9,18.2
A,RHO,10,16.42
A,RHO,11,15.17
A,RHO,12,12.61
A,RHO,13,11.2
A,RHO,14,10.68
A,RHO,15,10.23
A,RHO,16,8.34
B,RHO,1,19.17
B,RHO,2,26.68
B,RHO,3,27.47
B,RHO,4,25.43
B,RHO,5,24.19
B,RHO,6,23.03
B,RHO,7,17.41
B,RHO,8,17.42
B,RHO,9,16.55
B,RHO,10,16.15
B,RHO,11,15.34
B,RHO,12,14.05
B,RHO,13,14.08
B,RHO,14,13.32
B,RHO,15,12.51
B,RHO,16,11.17
C,CrkJoin,1,16.1999
C,CrkJoin,2,26.7632
C,CrkJoin,4,39.2142
C,CrkJoin,8,57.6429
C,CrkJoin,16,66.8135
D,CrkJoin,1,19.3866
D,CrkJoin,2,32.0317
D,CrkJoin,4,52.6117
D,CrkJoin,8,71.3682
D,CrkJoin,16,79.0613
C,RHO,1,15.7082
C,RHO,2,21.5659
C,RHO,3,22.4349
C,RHO,4,21.4638
C,RHO,5,20.2161
C,RHO,6,19.4703
C,RHO,7,19.0714
C,RHO,8,18.0221
C,RHO,9,17.1367
C,RHO,10,16.0787
C,RHO,11,15.143
C,RHO,12,13.6249
C,RHO,13,12.4365
C,RHO,14,11.4875
C,RHO,15,10.0506
C,RHO,16,7.8637
D,RHO,1,15.9754
D,RHO,2,19.6701
D,RHO,3,15.7411
D,RHO,4,10.9411
D,RHO,5,8.2428
D,RHO,6,8.1786
D,RHO,7,7.1521
D,RHO,8,7.1553
D,RHO,9,6.1255
D,RHO,10,6.1148
D,RHO,11,5.1059
D,RHO,12,5.0983
D,RHO,13,5.091
D,RHO,14,4.0841
D,RHO,15,4.0773
D,RHO,16,4.0659
A,PaMeCo,1,9.50
A,PaMeCo,2,11.38
A,PaMeCo,3,12.53
A,PaMeCo,4,13.04
A,PaMeCo,5,13.34
A,PaMeCo,6,13.70
A,PaMeCo,7,13.98
A,PaMeCo,8,14.08
A,PaMeCo,9,14.22
A,PaMeCo,10,14.20
A,PaMeCo,11,14.12
A,PaMeCo,12,14.12
A,PaMeCo,13,14.03
A,PaMeCo,14,13.99
A,PaMeCo,15,13.96
A,PaMeCo,16,13.92
B,PaMeCo,1,8.51
B,PaMeCo,2,9.59
B,PaMeCo,3,10.24
B,PaMeCo,4,10.38
B,PaMeCo,5,10.52
B,PaMeCo,6,10.43
B,PaMeCo,7,10.47
B,PaMeCo,8,10.41
B,PaMeCo,9,10.44
B,PaMeCo,10,10.38
B,PaMeCo,11,10.25
B,PaMeCo,12,10.14
B,PaMeCo,13,10.08
B,PaMeCo,14,9.96
B,PaMeCo,15,9.88
B,PaMeCo,16,9.70
C,PaMeCo,1,1.86
C,PaMeCo,2,2.92
C,PaMeCo,3,3.63
C,PaMeCo,4,4.08
C,PaMeCo,5,4.30
C,PaMeCo,6,4.37
C,PaMeCo,7,4.44
C,PaMeCo,8,4.46
C,PaMeCo,9,4.47
C,PaMeCo,10,4.42
C,PaMeCo,11,4.35
C,PaMeCo,12,4.29
C,PaMeCo,13,4.26
C,PaMeCo,14,4.22
C,PaMeCo,15,4.18
C,PaMeCo,16,4.14
D,PaMeCo,1,18.15
D,PaMeCo,2,20.11
D,PaMeCo,3,20.97
D,PaMeCo,4,21.37
D,PaMeCo,5,21.58
D,PaMeCo,6,21.55
D,PaMeCo,7,21.88
D,PaMeCo,8,22.03
D,PaMeCo,9,21.93
D,PaMeCo,10,21.73
D,PaMeCo,11,21.57
D,PaMeCo,12,21.47
D,PaMeCo,13,21.35
D,PaMeCo,14,21.38
D,PaMeCo,15,21.26
D,PaMeCo,16,21.24
