mode,alg,threads,dsName,M_R,M_S,throughput
sgx,RHO,3,S=10R,1,10,25.35
sgx,RHO,3,S=10R,2,20,14.13
sgx,RHO,3,S=10R,4,40,6.8
sgx,RHO,3,S=10R,8,80,8.11
sgx,RHO,3,S=10R,16,160,0.33
sgx,RHO,3,S=10R,32,320,8.74
sgx,RHO,3,S=10R,64,640,2.54
sgx,RHO,3,S=10R,128,1280,3.21
sgx,RHO,3,S=R,1,1,12.04
sgx,RHO,3,S=R,2,2,17.93
sgx,RHO,3,S=R,4,4,23.43
sgx,RHO,3,S=R,8,8,26.9
sgx,RHO,3,S=R,16,16,19.81
sgx,RHO,3,S=R,32,32,0.32
sgx,RHO,3,S=R,64,64,10.01
sgx,RHO,3,S=R,128,128,1.51
sgx,RHO,3,S=R,256,256,2.02
sgx,RHO,3,S=R,512,512,11.55
sgx,MCJoin,1,S=10R,1,10,13.09
sgx,MCJoin,1,S=10R,2,20,14.4
sgx,MCJoin,1,S=10R,4,40,13.27
sgx,MCJoin,1,S=10R,8,80,13.2
sgx,MCJoin,1,S=10R,16,160,12.61
sgx,MCJoin,1,S=10R,32,320,19.62
sgx,MCJoin,1,S=10R,64,640,11.94
sgx,MCJoin,1,S=10R,128,1280,7.7
sgx,MCJoin,1,S=10R,256,2560,4.22
sgx,MCJoin,1,S=R,1,1,9.66
sgx,MCJoin,1,S=R,2,2,12.47
sgx,MCJoin,1,S=R,4,4,13.31
sgx,MCJoin,1,S=R,8,8,9.78
sgx,MCJoin,1,S=R,16,16,7.34
sgx,MCJoin,1,S=R,32,32,6.8
sgx,MCJoin,1,S=R,64,64,6.2
sgx,MCJoin,1,S=R,128,128,3.89
sgx,MCJoin,1,S=R,256,256,3.25
sgx,MCJoin,1,S=R,512,512,2.43
sgx,MCJoin,1,S=R,1024,1024,1.39
sgx,MCJoin,1,S=R,2048,2048,0.73
sgx,PaMeCo,3,S=10R,1,10,26.25
sgx,PaMeCo,3,S=10R,2,20,28.47
sgx,PaMeCo,3,S=10R,4,40,26.55
sgx,PaMeCo,3,S=10R,8,80,25.1
sgx,PaMeCo,3,S=10R,16,160,19.51
sgx,PaMeCo,3,S=10R,32,320,12.51
sgx,PaMeCo,3,S=10R,64,640,7.47
sgx,PaMeCo,3,S=10R,128,1280,4.16
sgx,PaMeCo,3,S=10R,256,2560,2.20
sgx,PaMeCo,3,S=R,1,1,9.73
sgx,PaMeCo,3,S=R,2,2,12.2
sgx,PaMeCo,3,S=R,4,4,11.1
sgx,PaMeCo,3,S=R,8,8,11.11
sgx,PaMeCo,3,S=R,16,16,11.94
sgx,PaMeCo,3,S=R,32,32,10.23
sgx,PaMeCo,3,S=R,64,64,7.94
sgx,PaMeCo,3,S=R,128,128,5.43
sgx,PaMeCo,3,S=R,256,256,3.32
sgx,PaMeCo,3,S=R,512,512,1.86
sgx,PaMeCo,3,S=R,1024,1024,0.99
sgx,PaMeCo,3,S=R,2048,2048,0.51
sgx,CrkJoin,16,S=10R,1,10,78.65
sgx,CrkJoin,16,S=10R,2,20,79.86
sgx,CrkJoin,16,S=10R,4,40,81.35
sgx,CrkJoin,16,S=10R,8,80,81.25
sgx,CrkJoin,16,S=10R,16,160,80.42
sgx,CrkJoin,16,S=10R,32,320,79.6
sgx,CrkJoin,16,S=10R,64,640,78.72
sgx,CrkJoin,16,S=10R,128,1280,77.25
sgx,CrkJoin,16,S=10R,256,2560,77.37
sgx,CrkJoin,16,S=10R,429,4290,72.37
sgx,CrkJoin,16,S=R,1,1,59.29
sgx,CrkJoin,16,S=R,2,2,70.67
sgx,CrkJoin,16,S=R,4,4,76.8
sgx,CrkJoin,16,S=R,8,8,79.29
sgx,CrkJoin,16,S=R,16,16,80.76
sgx,CrkJoin,16,S=R,32,32,80.71
sgx,CrkJoin,16,S=R,64,64,79.25
sgx,CrkJoin,16,S=R,128,128,74.7
sgx,CrkJoin,16,S=R,256,256,73.3089
sgx,CrkJoin,16,S=R,512,512,70.5804
sgx,CrkJoin,16,S=R,1024,1024,70.72
sgx,CrkJoin,16,S=R,2048,2048,67.59
sgx,CrkJoin,16,S=R,4096,4096,65.01
