mode,alg,threads,sizeR,sizeS,throughput
sgx,CRKJ,1,4194304,160000000,30.71
sgx,CRKJ,1,4987896,160000000,32.98
sgx,CRKJ,1,5931641,160000000,32.07
sgx,CRKJ,1,7053950,160000000,31.27
sgx,CRKJ,1,8388608,160000000,30.39
sgx,CRKJ,1,9975792,160000000,32.4
sgx,CRKJ,1,11863283,160000000,31.25
sgx,CRKJ,1,14107900,160000000,30.86
sgx,CRKJ,1,16777216,160000000,29.71
sgx,CRKJ,1,19951584,160000000,31.52
sgx,CRKJ,1,23726566,160000000,31.24
sgx,CRKJ,1,28215801,160000000,30.59
sgx,CRKJ,1,33554432,160000000,29.33
sgx,CRKJ,1,39903169,160000000,30.94
sgx,CRKJ,1,47453132,160000000,30.29
sgx,CRKJ,1,56431603,160000000,29.53
sgx,CRKJ,1,67108864,160000000,28.98
sgx,CRKJ,1,79806338,160000000,20.65
sgx,CRKJ,1,94906265,160000000,20.39
sgx,CRKJ,1,112863206,160000000,20.36
sgx,CRKJ,1,134217728,160000000,20.41
sgx,CRKJ,1,159612677,160000000,13.6
sgx,CRKJ,1,4194304,320000000,31.25
sgx,CRKJ,1,4987896,320000000,32.99
sgx,CRKJ,1,5931641,320000000,32.11
sgx,CRKJ,1,7053950,320000000,31.3
sgx,CRKJ,1,8388608,320000000,30.37
sgx,CRKJ,1,9975792,320000000,32.47
sgx,CRKJ,1,11863283,320000000,31.65
sgx,CRKJ,1,14107900,320000000,30.88
sgx,CRKJ,1,16777216,320000000,29.69
sgx,CRKJ,1,19951584,320000000,32.22
sgx,CRKJ,1,23726566,320000000,31.4
sgx,CRKJ,1,28215801,320000000,30.65
sgx,CRKJ,1,33554432,320000000,29.84
sgx,CRKJ,1,39903169,320000000,31.36
sgx,CRKJ,1,47453132,320000000,30.53
sgx,CRKJ,1,56431603,320000000,29.84
sgx,CRKJ,1,67108864,320000000,29.04
sgx,CRKJ,1,79806338,320000000,20.39
sgx,CRKJ,1,94906265,320000000,20.31
sgx,CRKJ,1,112863206,320000000,19.93
sgx,CRKJ,1,134217728,320000000,19.88
sgx,CRKJ,1,159612677,320000000,12.2
sgx,CRKJ,1,189812531,320000000,12.45
sgx,CRKJ,1,225726412,320000000,12.67
sgx,CRKJ,1,268435456,320000000,12.95
sgx,CRKJ,1,4194304,640000000,31.06
sgx,CRKJ,1,4987896,640000000,33.0
sgx,CRKJ,1,5931641,640000000,32.09
sgx,CRKJ,1,7053950,640000000,31.29
sgx,CRKJ,1,8388608,640000000,30.08
sgx,CRKJ,1,9975792,640000000,32.5
sgx,CRKJ,1,11863283,640000000,31.64
sgx,CRKJ,1,14107900,640000000,30.77
sgx,CRKJ,1,16777216,640000000,29.99
sgx,CRKJ,1,19951584,640000000,32.23
sgx,CRKJ,1,23726566,640000000,31.31
sgx,CRKJ,1,28215801,640000000,30.66
sgx,CRKJ,1,33554432,640000000,29.71
sgx,CRKJ,1,39903169,640000000,31.06
sgx,CRKJ,1,47453132,640000000,30.66
sgx,CRKJ,1,56431603,640000000,29.88
sgx,CRKJ,1,67108864,640000000,29.22
sgx,CRKJ,1,79806338,640000000,20.45
sgx,CRKJ,1,94906265,640000000,20.47
sgx,CRKJ,1,112863206,640000000,19.28
sgx,CRKJ,1,134217728,640000000,19.63
sgx,CRKJ,1,159612677,640000000,11.22
sgx,CRKJ,1,189812531,640000000,11.37
sgx,CRKJ,1,225726412,640000000,11.54
sgx,CRKJ,1,268435456,640000000,11.73
sgx,CRKJ,1,4194304,1280000000,31.17
sgx,CRKJ,1,4987896,1280000000,32.62
sgx,CRKJ,1,5931641,1280000000,32.12
sgx,CRKJ,1,7053950,1280000000,31.28
sgx,CRKJ,1,8388608,1280000000,30.1
sgx,CRKJ,1,9975792,1280000000,32.54
sgx,CRKJ,1,11863283,1280000000,31.67
sgx,CRKJ,1,14107900,1280000000,30.79
sgx,CRKJ,1,16777216,1280000000,29.67
sgx,CRKJ,1,19951584,1280000000,31.66
sgx,CRKJ,1,23726566,1280000000,31.05
sgx,CRKJ,1,28215801,1280000000,30.21
sgx,CRKJ,1,33554432,1280000000,29.43
sgx,CRKJ,1,39903169,1280000000,31.11
sgx,CRKJ,1,47453132,1280000000,30.77
sgx,CRKJ,1,56431603,1280000000,29.94
sgx,CRKJ,1,67108864,1280000000,29.18
sgx,CRKJ,1,79806338,1280000000,19.67
sgx,CRKJ,1,94906265,1280000000,19.87
sgx,CRKJ,1,112863206,1280000000,19.5
sgx,CRKJ,1,134217728,1280000000,19.4
sgx,CRKJ,1,159612677,1280000000,10.68
sgx,CRKJ,1,189812531,1280000000,10.7
sgx,CRKJ,1,225726412,1280000000,10.81
sgx,CRKJ,1,268435456,1280000000,10.9
sgx,CRKJ,1,4194304,2560000000,31.2
sgx,CRKJ,1,4987896,2560000000,32.9
sgx,CRKJ,1,5931641,2560000000,32.02
sgx,CRKJ,1,7053950,2560000000,30.97
sgx,CRKJ,1,8388608,2560000000,29.9
sgx,CRKJ,1,9975792,2560000000,32.12
sgx,CRKJ,1,11863283,2560000000,31.09
sgx,CRKJ,1,14107900,2560000000,30.33
sgx,CRKJ,1,16777216,2560000000,29.48
sgx,CRKJ,1,19951584,2560000000,31.64
sgx,CRKJ,1,23726566,2560000000,30.85
sgx,CRKJ,1,28215801,2560000000,30.1
sgx,CRKJ,1,33554432,2560000000,29.44
sgx,CRKJ,1,39903169,2560000000,31.16
sgx,CRKJ,1,47453132,2560000000,30.4
sgx,CRKJ,1,56431603,2560000000,29.7
sgx,CRKJ,1,67108864,2560000000,28.91
sgx,CRKJ,1,79806338,2560000000,19.0
sgx,CRKJ,1,94906265,2560000000,19.73
sgx,CRKJ,1,112863206,2560000000,19.81
sgx,CRKJ,1,134217728,2560000000,19.13
sgx,CRKJ,1,159612677,2560000000,10.37
sgx,CRKJ,1,189812531,2560000000,10.35
sgx,CRKJ,1,225726412,2560000000,10.34
sgx,CRKJ,1,268435456,2560000000,10.44
