mode,alg,threads,sizeR,sizeS,throughput,ratioS
sgx,CRKJ,16,4000000,4000000,79.39,1
sgx,CRKJ,16,4000000,8000000,81.04,2
sgx,CRKJ,16,4000000,12000000,82.24,3
sgx,CRKJ,16,4000000,16000000,82.32,4
sgx,CRKJ,16,4000000,20000000,83.06,5
sgx,CRKJ,16,4000000,24000000,83.3,6
sgx,CRKJ,16,4000000,28000000,82.9,7
sgx,CRKJ,16,4000000,32000000,84.01,8
sgx,CRKJ,16,4000000,36000000,82.9,9
sgx,CRKJ,16,4000000,40000000,82.95,10
sgx,CRKJ,16,8000000,8000000,82.54,1
sgx,CRKJ,16,8000000,16000000,83.04,2
sgx,CRKJ,16,8000000,24000000,83.4,3
sgx,CRKJ,16,8000000,32000000,83.11,4
sgx,CRKJ,16,8000000,40000000,82.93,5
sgx,CRKJ,16,8000000,48000000,82.73,6
sgx,CRKJ,16,8000000,56000000,83.32,7
sgx,CRKJ,16,8000000,64000000,83.33,8
sgx,CRKJ,16,8000000,72000000,82.6,9
sgx,CRKJ,16,8000000,80000000,82.94,10
sgx,CRKJ,16,16000000,16000000,83.12,1
sgx,CRKJ,16,16000000,32000000,82.94,2
sgx,CRKJ,16,16000000,48000000,82.89,3
sgx,CRKJ,16,16000000,64000000,82.79,4
sgx,CRKJ,16,16000000,80000000,83.26,5
sgx,CRKJ,16,16000000,96000000,82.36,6
sgx,CRKJ,16,16000000,112000000,82.74,7
sgx,CRKJ,16,16000000,128000000,82.44,8
sgx,CRKJ,16,16000000,144000000,82.23,9
sgx,CRKJ,16,16000000,160000000,82.32,10
sgx,CRKJ,16,32000000,32000000,83.11,1
sgx,CRKJ,16,32000000,64000000,82.84,2
sgx,CRKJ,16,32000000,96000000,82.31,3
sgx,CRKJ,16,32000000,128000000,81.87,4
sgx,CRKJ,16,32000000,160000000,81.36,5
sgx,CRKJ,16,32000000,192000000,81.16,6
sgx,CRKJ,16,32000000,224000000,81.47,7
sgx,CRKJ,16,32000000,256000000,81.47,8
sgx,CRKJ,16,32000000,288000000,81.11,9
sgx,CRKJ,16,32000000,320000000,81.58,10
sgx,CRKJ,16,64000000,64000000,81.41,1
sgx,CRKJ,16,64000000,128000000,81.09,2
sgx,CRKJ,16,64000000,192000000,80.75,3
sgx,CRKJ,16,64000000,256000000,80.48,4
sgx,CRKJ,16,64000000,320000000,80.68,5
sgx,CRKJ,16,64000000,384000000,80.55,6
sgx,CRKJ,16,64000000,448000000,80.83,7
sgx,CRKJ,16,64000000,512000000,80.31,8
sgx,CRKJ,16,64000000,576000000,80.45,9
sgx,CRKJ,16,64000000,640000000,80.59,10
sgx,CRKJ,16,128000000,128000000,76.23,1
sgx,CRKJ,16,128000000,256000000,76.9,2
sgx,CRKJ,16,128000000,384000000,78.08,3
sgx,CRKJ,16,128000000,512000000,77.97,4
sgx,CRKJ,16,128000000,640000000,78.63,5
sgx,CRKJ,16,128000000,768000000,77.96,6
sgx,CRKJ,16,128000000,896000000,78.65,7
sgx,CRKJ,16,128000000,1024000000,78.82,8
sgx,CRKJ,16,128000000,1152000000,78.59,9
sgx,CRKJ,16,128000000,1280000000,78.96,10
