alg,dataset,queries,delay,throughput
CrkJoin,A,8,500,34.8197
CrkJoin,A,8,1000,44.0467
CrkJoin,A,8,1500,51.5864
CrkJoin,A,8,2000,59.8233
CrkJoin,A,8,2500,66.221
CrkJoin,A,8,3000,70.438
CrkJoin,A,8,3500,74.4571
CrkJoin,A,8,4000,80.0003
CrkJoin,A,8,4500,81.8205
CrkJoin,A,8,5000,82.6363
CrkJoin,A,8,5500,82.8702
CrkJoin,A,8,6000,81.5612
CrkJoin,A,8,6500,80.7375
CrkJoin,A,8,7000,80.5433
CrkJoin,A,8,7500,80.6433
CrkJoin,A,8,8000,80.538
CrkJoin,A,8,8500,81.9447
CrkJoin,A,8,9000,82.9419
CrkJoin,A,8,9500,82.7982
CrkJoin,A,8,10000,82.9668
CrkJoin,A,8,10500,83.1313
CrkJoin,A,8,11000,82.9586
CrkJoin,A,8,11500,83.0867
CrkJoin,A,8,12000,82.8622
CrkJoin,A,8,12500,82.9687
CrkJoin,A,8,13000,82.8454
CrkJoin,A,8,13500,82.8392
CrkJoin,A,8,14000,82.956
CrkJoin,A,8,14500,82.8126
CrkJoin,A,8,15000,83.0035
RHO,A,8,500,1.24
RHO,A,8,1000,1.25
RHO,A,8,1500,1.3
RHO,A,8,2000,1.36
RHO,A,8,2500,1.39
RHO,A,8,3000,1.45
RHO,A,8,3500,1.51
RHO,A,8,4000,1.57
RHO,A,8,4500,1.64
RHO,A,8,5000,1.77
RHO,A,8,5500,1.95
RHO,A,8,6000,2.21
RHO,A,8,6500,2.81
RHO,A,8,7000,2.97
RHO,A,8,7500,3.75
RHO,A,8,8000,4.35
RHO,A,8,8500,4.97
RHO,A,8,9000,5.72
RHO,A,8,9500,7.12
RHO,A,8,10000,9.09
RHO,A,8,10500,12.78
RHO,A,8,11000,16.4
RHO,A,8,11500,18.54
RHO,A,8,12000,20.21
RHO,A,8,12500,22.31
RHO,A,8,13000,24.41
RHO,A,8,13500,25.17
RHO,A,8,14000,25.64
RHO,A,8,14500,25.86
RHO,A,8,15000,25.66
MCJoin,A,8,500,0.0535
MCJoin,A,8,1000,0.0556
MCJoin,A,8,1500,0.0544
MCJoin,A,8,2000,0.0536
MCJoin,A,8,2500,0.0558
MCJoin,A,8,3000,0.0527
