alg,query,scale,timeTotalUs,timeSelectionUs,timeJoinUs,join1Us,join2Us,join3Us
CrkJoin,3,1,202384,116910,85474,24791,60683,0
CrkJoin,10,1,141440,97691,43749,20170,8931,14648
CrkJoin,12,1,49643,23425,26210,26210,0,0
CrkJoin,19,1,43710,33531,10179,10179,0,0
RHO,3,1,329197,112797,216400,97920,118479,0
RHO,10,1,235524,76668,158856,74937,932,82179
RHO,12,1,102661,24929,77729,77729,0,0
RHO,19,1,73630,33480,40150,40150,0,0
MCJoin,3,1,792698,52902,739796,308530,431266,0
MCJoin,10,1,783289,30300,752989,277381,149777,325831
MCJoin,12,1,425942,23563,402373,402373,0,0
MCJoin,19,1,300675,33534,267141,267141,0,0
PaMeCo,3,1,744830,114853,629977,269192,360785,0
PaMeCo,10,1,891607,89306,802301,299423,154809,348069
PaMeCo,12,1,545220,24199,521021,521021,0,0
PaMeCo,19,1,216008,33244,182764,182764,0,0
CrkJoin,3,10,3282521,1141926,2140595,272843,1867752,0
CrkJoin,10,10,1499793,1088326,411467,65917,69190,276360
CrkJoin,12,10,324814,233323,91483,91483,0,0
CrkJoin,19,10,354061,330756,23305,23305,0,0
RHO,3,10,3751225,1146145,2605079,523858,2081207,0
RHO,10,10,1891773,1051840,839933,237668,17522,584728
RHO,12,10,688559,248204,440351,440351,0,0
RHO,19,10,433936,331568,102367,102367,0,0
MCJoin,3,10,5978018,867512,5110506,794813,4315693,0
MCJoin,10,10,3556147,859534,2696613,417139,177804,2101670
MCJoin,12,10,2415959,232818,2183086,2183086,0,0
MCJoin,19,10,671863,332326,339537,339537,0,0
PaMeCo,3,10,5617032,1883421,4351877,693473,3610387,0
PaMeCo,10,10,3993744,994913,2998831,441790,416613,2140428
PaMeCo,12,10,3092508,239102,2826814,2826814,0,0
PaMeCo,19,10,482673,329452,232293,232293,0,0
